id,Question,A,B,C,D,answer,explanation,score
50,以下是用友公司供应链云服务的部分新增特性，哪一项不属于采购云新增功能？,支持退货订单协同流程,支持采购订单参照直运销售订单生单,移动端支持日常盘点单扫码,支持按照价格目录进行供应商匹配,C,根据原文中关于用友YonSuite202207公有云发版说明的描述，采购云新增功能包括：支持退货订单协同流程、支持采购订单参照直运销售订单生单、支持按照价格目录进行供应商匹配。而选项C（移动端支持日常盘点单扫码）并未提及在采购云的新增功能中，而是属于库存管理或移动应用的新增特性。因此，<回答>C是正确的，它不属于采购云新增功能。,1.0
51,用友YonBIP V3.0(R5_2312)超级版公有云在全球化服务中提供了哪些能力框架和服务？,多语言、多时区、多格式设置,多币种、多汇率支持,会计、税务、劳务、安全等多制度框架,所有选项都是,D,根据<原文>中提到的全球化服务包括多语言、多时区、多格式的设置，多币种，多汇率等全球化基础数据的提供，以及会计、税务、劳务、安全等多制度框架，可以确认<回答>D选项涵盖了<选择题>中的所有提及的能力框架和服务。因此，<回答>的选项D是正确的，回答准确性的分数为1。,1.0
52,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版中，三方集成资产的目标是什么？,实现YonBIP旗舰版和三方服务互联互通，帮助项目快速完成集成开发和实施，降低和三方服务集成的难度、成本。,提供单一的ERP解决方案,仅支持电商ERP系统集成,专注于内部系统优化，不涉及外部系统集成,A,根据<原文>中的'产品目标'描述，'实现YonBIP旗舰版和三方服务互联互通，帮助项目快速完成集成开发和实施，降低和三方服务集成的难度、成本。'与<A>选项完全匹配，因此<回答>选择A是正确的，故回答准确性得分为1。,1.0
53,YonBIP V3.0旗舰版私有云连接集成服务的核心功能不包括以下哪一项？,提供连接用友企业云服务、用友软件产品、第三方SaaS服务的混合云服务,提供API网关、数据集成、集成总线、主数据管理四大集成工具支撑,支持快速集成开发，降低集成难度和成本,支持企业内部传统应用程序的独立运行和维护,D,根据<原文>中提供的产品功能范围，明确指出YonBIP V3.0旗舰版私有云连接集成服务包含提供连接用友企业云服务、用友软件产品、第三方SaaS服务的混合云服务（A选项），提供API网关、数据集成、集成总线、主数据管理四大集成工具支撑（B选项），以及支持快速集成开发，降低集成难度和成本（C选项）。而D选项关于支持企业内部传统应用程序的独立运行和维护，并未在<原文>的功能描述中提及，因此D选项确实是<选择题>的正确答案。,1.0
54,用友YonBIP V3.0(R5_2312)超级版公有云发版中，实现了与哪些第三方系统的数据集成？,"SAP-S4HANA, 钉钉, 浙大中控, 聚水潭, 万里牛, 旺店通旗舰版, 旺店通企业版","Oracle EBS, 微信, 金蝶, 京东","Salesforce, 微软Dynamics, 广联达, 淘宝","Workday, 石墨, 用友U8, 阿里巴巴",A,"根据<原文>中的表格内容，明确列出了与用友YonBIP V3.0(R5_2312)超级版公有云发版实现数据集成的第三方系统，包括SAP-S4HANA, 钉钉, 浙大中控, 聚水潭, 万里牛, 旺店通旗舰版, 旺店通企业版。因此，<回答>A是正确的，完全符合<选择题>所问及<原文>提供的信息，故回答准确性得分为1。",1.0
55,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版说明中提到的绩效管理核心理念是什么？,通过数字化技术实现人力资源管理的全面数智化,提供单一的绩效考核方案,专注于传统人力资源管理,仅关注员工绩效而不涉及组织绩效,A,根据原文中的产品总述部分，'YonBIP人力云是涵盖了人力资源管理全业务的数字化应用平台。以赋能员工、激活组织为产品理念，通过数字化技术连接人与团队、人与信息，贯通线上与线下业务。通过新一代智能体验技术全时全方位赋能人与组织，运用AI辅助识别、机器人自动化技术、智能流程技术，服务人力资源业务全角色，实现管理的全面数智化。' 这段描述直接证明了'A. 通过数字化技术实现人力资源管理的全面数智化'是正确的答案。,1.0
56,用友数据中台的核心能力不包括以下哪一项？,数据资产的规划与治理,数据资产的采集、获取和存储,提供企业级社交网络服务,数据业务价值的探索和分析,C,根据原文中描述的用友数据中台的五大核心能力：数据资产的规划与治理，数据资产的采集、获取和存储，数据资产的共享和协作，数据业务价值的探索和分析，数据服务的构建、治理、度量和运营，可以看出选项A、B、D均属于数据中台的核心能力描述。而选项C（提供企业级社交网络服务）并未在原文中提及，因此C不是用友数据中台的核心能力，故回答C是正确的。,1.0
57,项目云的目标客户主要是？,成长型企业,大型企业,中小型企业,初创型企业,A,根据<原文>中'1.1概述 项目云基于角色和场景设计，为成长型企业数字化转型提供项目全生命周期管理服务。'的描述，可以确定项目云的目标客户主要是成长型企业，因此<A>选项是正确的，<回答>与<选择题>的正确答案相符，故回答准确性为1。,1.0
58,YonBIP的核心安全理念是什么?,构建和运营全球领先的商业创新平台,商业创新，如此便捷,确保用户数据安全和隐私保护是最重要的安全原则和战略方向,平台化、中台化、生态化,C,根据原文中提到的'用友对安全非常重视，把网络安全、数据安全、隐私保护作为公司业务和运营的底线要求，视用户数据安全和用户隐私保护为用友最重要的安全原则和战略方向'，可以判断C选项“确保用户数据安全和隐私保护是最重要的安全原则和战略方向”是正确的答案。,1.0
59,用友YonBIP财务云平台的核心技术特征不包括？,微服务,云原生,平台化,功能模块化,D,在提供的原始文本中，没有提到功能模块化作为用友YonBIP财务云平台的核心技术特征。文本中提到了基于微服务、云原生、以及平台化的架构，这些都是用友YonBIP财务云的技术特点，但是没有明确指出功能模块化是其核心技术特征之一。因此，D选项（功能模块化）不是用友YonBIP财务云平台的核心技术特征，回答正确。,1.0
60,用友数据中台的核心能力包括哪些？,数据资产的规划与治理、数据资产的采集、数据资产的共享和协作、数据业务价值的探索和分析、数据服务的构建、治理、度量和运营,数据采集、数据存储、数据处理、数据传输,数据清洗、数据建模、数据分析、数据可视化,数据挖掘、数据预测、数据优化、数据安全,A,根据原文中描述的用友数据中台的核心能力，包括数据资产的规划与治理、数据资产的采集、数据资产的共享和协作、数据业务价值的探索和分析、数据服务的构建、治理、度量和运营等内容，A选项完全覆盖了这些能力，因此是正确的。,1.0
61,以下是关于用友供应链云服务的描述，哪一项是正确的？,YonSuite仅支持单地点经营的企业供应链管理,供应链云服务无法实现产供销、业财税一体化,供应链云服务不支持企业内外部协同,通过OpenAPI可以快速实现与第三方服务融合，实现供应链业务闭环,D,根据<原文>中'通过OpenAPI可以快速实现与第三方服务融合，实现供应链业务闭环'的描述，<回答>D是正确的。,1.0
62,用友软件集团提供的一系列云服务产品中，专注于企业财务管理的是哪一项？,YonSuite,U9cloud,财务云,供应链云,C,在提供的<原文>中，并没有提到用友软件集团的云服务产品具体有哪些，更没有指出专注于企业财务管理的是哪一项服务。因此，无法通过<原文>验证<回答>的正确性。由于<回答>没有被<原文>内容所支持，故回答准确性得分为0。,0.0
63,项目云的目标客户是什么类型的企业？,成长型企业,大型企业,初创企业,中小型企业,A,根据原文中的描述，'项目云的目标客户是什么类型的企业？'的答案可以从'项目云基于角色和场景设计，为成长型企业数字化转型提供项目全生命周期管理服务。'一句得出，目标客户是成长型企业，因此选项A是正确的。,1.0
64,以下是YonSuite供应链云服务支持的业务场景，哪一项不是其核心功能？,弹性扩展供应链，支持业务快速复制,实现企业内数据和业务参数的分层管控,提供可扩展的单据交易类型及业务流程,实现企业对外数据的公开共享,D,根据<原文>中'1.2 产品目标...实现供应链全移动应用。'和'1.3 产品架构...供应链服务包括采购供应和销售服务两个子领域。'以及后续详细描述中并未提及D选项所述的'实现企业对外数据的公开共享'为核心功能，故D选项确实不是YonSuite供应链云服务的核心功能，<回答>正确。,1.0
65,以下是关于用友供应链云服务的描述，哪一项是正确的？,YonBIP202111供应链云篇主要目标是实现供应链与物流服务的深度融合。,YonBIP202111供应链云篇支持企业从单组织形态、单地点经营转向多组织形态、多地点经营的发展过程中，始终保持高效协同、敏捷供应。,YonBIP202111供应链云篇仅支持固定的产品架构，无法适应个性化需求。,YonBIP202111供应链云篇不支持供应链全移动应用。,B,根据原文中的描述，'YonBIP202111供应链云篇支持企业从单组织形态、单地点经营转向多组织形态、多地点经营的发展过程中，始终保持高效协同、敏捷供应'与B选项直接对应，且原文未提及其他选项的内容，故B选项是正确的。,1.0
66,用友人力分析新品预置了多少个分析主题？,5个,7个,10个,12个,B,在原文的'新品价值'部分中明确提到了预置了7个分析主题，因此回答B是正确的，完全符合原文信息。,1.0
67,用友YonBIP V3.0(R5_2312_1)旗舰版私有云用户手册中提到的决策支持模块不包含以下哪个主题？,基础设置,监控大屏,资源可视主题,业务流程优化,D,根据原文中提到的决策支持模块包含的主题有基础设置、监控大屏、资源可视主题、资金安全主题，而业务流程优化并未在原文中提及，因此回答D是正确的。,1.0
68,在用友财务云中，企业所得税年度汇算清缴的工作底稿表与申报表的关系是什么？,申报表直接从工作底稿表中取数,工作底稿表与申报表完全无关,申报表中的数据需要手动输入，不能从工作底稿表中取数,工作底稿表中的数据仅用于内部参考，不参与申报,A,根据原文中的描述，'申报表从底稿表完全对应取数'，这明确表明了申报表是直接从工作底稿表中取数的，因此回答A是正确的。,1.0
69,用友YonBIP V3.0(R5_2312_1)旗舰版私有云用户手册中，异常管理的主要功能不包括？,异常来源系统注册,参数配置,设备维护,异常记录,C,根据原文提供的信息，异常管理的主要功能包含了异常来源系统注册、参数配置和异常记录，而没有提及设备维护（C选项）。因此，回答C是正确的，其准确性得分为1。,1.0
70,用友YonBIP V3.0旗舰版私有云用户手册中提到的企业帐号（租户）的作用是什么？,数据隔离和业务隔离的基础环境,企业专属特征的定制平台,企业认证的审核系统,企业信息和联系人的数据库,A,根据原文中的描述，企业帐号（租户）的作用确实包括数据隔离和业务隔离的基础环境，故选项A正确。虽然原文还提到了其他作用，如定制企业专属特征的平台，但这并不影响A选项的正确性。,1.0
71,新品需求计划的核心构成要素不包括以下哪一项？,维度,指标,时间,价格,D,根据原文中的描述，需求计划的三个核心构成要素为维度、指标、时间，而价格并未被提及作为构成要素之一。因此，回答D（价格）是正确的，准确地指出了哪个选项不属于新品需求计划的核心构成要素。,1.0
72,在用友的BIP中，特征被用于扩展什么？,业务对象属性,系统操作界面,数据库性能,网络连接稳定性,A,通过审阅<原文>中的信息，特别是在'1.2 BIP中特征的作用'部分，明确指出特征是用来扩展业务对象属性的。因此，<回答>中的选项A（业务对象属性）与<选择题>的问题完全相符，是正确的答案。,1.0
73,根据IDC的评估，用友在2020-2030年期间累计带动的经济总量将达到多少？,1.5万亿元,3.0万亿元,4.5万亿元,6.0万亿元,C,在<原文>中明确指出'用友在2020-2030年累计带动的经济总量将达到4.5万亿元'，这与<回答>中的选项'C'完全吻合，因此<回答>是正确的，得分为满分1.0。,1.0
74,用友云安全的核心理念是什么？,高效、快速、便捷,可信、可靠、保障、贴心,开放、共享、协作,创新、智能、自动化,B,在原文中，虽然没有直接提到用友云安全的核心理念具体表述，但在1.3节中明确提到了用友云的安全观，即'可信、可靠、保障、贴心'，这与选择题中的B选项相匹配，因此回答B是正确的。,1.0
75,用友新推出的特殊库存管理主要解决了哪类业务痛点？,企业无法对普通库存进行有效追踪,企业无法实现财务与库存数据的一致性,企业无法区分管理不同物权和位置的库存,企业无法快速响应市场变化,C,根据原文中的业务痛点描述，其中明确提到了'无法按照物权，位置来精细化管理库存'，这直接对应了回答中的选项C，即企业无法区分管理不同物权和位置的库存。因此，回答完全符合选择题的正确答案，准确性得分为1。,1.0
76,以下是关于用友数据中台的描述，哪一项是正确的？,数据中台旨在构建全域数据，覆盖从数据采集到数据服务的每一个环节,数据中台仅专注于数据采集和存储，不涉及数据服务和应用,数据中台的目标是减少数据的使用，降低企业的数据管理成本,数据中台是独立于YonBIP产品体系之外的一个数据服务系统,A,根据<原文>中对用友数据中台的描述，确实提到了其构建全域数据，覆盖从数据采集到数据服务的每一个环节，因此<A>选项是正确的。其他选项在<原文>中并无提及或直接反驳，故<A>是唯一正确答案，回答完全准确。,1.0
77,企业税务数字化的核心驱动力是什么？,企业内部管理需求,税局端的税收数字化建设,降低纳税时间和次数,提升企业品牌形象,B,根据原文中的描述，'税局端的税收数字化建设'作为企业税务数字化的核心驱动力被详细阐述，具体提到了国家税务总局推动的税收数字化建设如何影响和推动企业的税务数字化进程。因此，<回答>中的选项B是<选择题>的正确答案，回答完全准确。,1.0
78,AI工坊由哪几大服务构成？,算法库、场景化模型库、计算引擎、模型工场、模型管理,数据库、模型库、算法引擎、模型工厂、服务管理,机器学习、深度学习、迁移学习、增强学习、联邦学习,AI算法、AI模型、AI服务、AI数据、AI计算,A,根据原文中提到的'AI工坊由算法库、场景化模型库、计算引擎、模型工场、模型管理五大服务构成'，可以确定选项A（算法库、场景化模型库、计算引擎、模型工场、模型管理）是正确的。因此，回答准确性为满分1。,1.0
79,德荣医疗采用YonBIP后，在采购需求管理方面实现了哪些效果？,需求在线化、预测模型化、分析多维化,提高了人工统计数据的准确性,完全去除了对人工的依赖,实现了所有业务的自动化,A,根据<原文>中'业务中台之采购需求'部分的描述，德荣医疗在采用YonBIP后确实实现了需求在线化、预测模型化、分析多维化的效果。因此，<回答>A与<选择题>的表述完全吻合，故回答准确性为满分1。,1.0
80,项目云中的里程碑类项目管理支持哪种立项方式？,仅支持基于销售合同立项,仅支持基于销售订单立项,仅支持自主立项,支持基于CRM商机、销售合同或销售订单立项以及自主立项,D,根据<原文>中里程碑类项目管理部分的描述，明确指出支持三种立项方式：基于CRM商机立项、基于销售合同或销售订单立项、不依赖合同或订单的自主立项。这与<回答>D选项的内容完全吻合，因此<回答>是正确的，故回答准确性得分为1。,1.0
81,在YonBIP的供应链云销售管理中，以下哪项参数控制是否允许手工新增无来源退货单？,选择组织,允许超订单发货及出库,支持无来源退货,实时取价,C,在提供的原文中，参数名为'支持无来源退货'的描述明确指出其功能为'用于控制是否允许手工新增无来源退货单'，这与选择题中的问题'以下哪项参数控制是否允许手工新增无来源退货单？'完全对应，因此回答'C'是准确无误的。,1.0
82,特征管理的目标不包括以下哪一项？,实施态扩展属性数量不受限,支持根据行业和企业需求在实施态扩展属性,提升物料编码的固定性和不可扩展性,基于上下文的弹性扩展能力,C,通过审阅<原文>，可以确认特征管理的目标之一是提升物料编码的弹性和可扩展性，而不是提升其固定性和不可扩展性。因此，选项C（提升物料编码的固定性和不可扩展性）确实不属于特征管理的目标，故<回答>C是正确的，符合<选择题>的要求。,1.0
83,以下是关于用友YonBIP V3.0智能中台的描述，哪一项是正确的？,智能中台仅支持传统软件部署，不提供云服务,智能中台的核心是实现企业内部的人工智能自动化，包括RPA和对话机器人等,智能中台不支持企业级搜索服务,智能中台的服务范围不包括企业画像和知识图谱构建,B,根据原文中智能中台的描述，智能中台确实以智能为核心驱动力，实现企业内部的人工智能自动化，包括RPA和对话机器人等。因此，选项B是正确的，而且回答中选择了B，这与原文内容相吻合，没有提到其他选项的内容，故回答准确性为1。,1.0
84,用友一体化医院信息系统H+的核心设计理念不包括？,三个一体化,八点产品理念,集团级重大新产品立项,提供单体医院独立解决方案,D,根据原文内容，用友一体化医院信息系统H+的核心设计理念包括三个一体化（集团一体化、前后一体化、医患一体化）、八点产品理念、以及它是集团级重大新产品立项。而提供的单体医院独立解决方案并不是其核心设计理念，因此选项D是正确的。回答选择了D，与原文信息相符，故回答准确性为1。,1.0
85,以下哪一项不是用友YonBIP税务服务中销项管理的业务场景？,手工开具增值税发票,二维扫码开票,零售开票,员工薪资发放,D,根据<原文>中列出的业务场景，销项管理包括了手工开具增值税发票（A）、二维扫码开票（B）、零售开票（C）等场景，但并未提及员工薪资发放（D）作为其业务场景的一部分。因此，<回答>D是正确的，完全符合<选择题>的要求，故回答准确性得分为1。,1.0
86,在合并报表中，抵销母公司对子公司的长期股权投资与子公司所有者权益时，下列哪一项不是必须抵销的项目？,实收资本,资本公积,外购固定资产,少数股东权益,C,根据提供的原文信息，抵销母公司对子公司的长期股权投资与子公司所有者权益时，确实不需要抵销'外购固定资产'（C选项）。原文详细讲解了合并报表中的抵销规则，包括母公司长期股权投资与子公司所有者权益的抵销，但并未提及需要抵销外购固定资产这一项。因此，<回答>C是正确的。,1.0
87,在合并报表中，用于调整母公司长期股权投资与子公司所有者权益、利润分配的抵销方法包括哪些？,模拟权益法和成本法,直接法和间接法,现金流量法和资产负债法,权益集合法和购买法,A,根据<原文>中的'合并报表-抵销-权益类抵销'部分内容，明确提到'1、母公司长期股权投资与子公司所有者权益、利润分配的抵销（模拟权益法与成本法）'，这表明模拟权益法和成本法均是用于调整母公司长期股权投资与子公司所有者权益、利润分配的抵销方法，因此<A>选项是正确的。,1.0
88,用友网络科技股份有限公司的核心价值观是什么?,技术创新,用户之友,企业服务,数字化转型,B,在阅读了提供的原文后，没有发现直接提及用友网络科技股份有限公司的核心价值观。然而，问题和答案部分明确指出问题是关于用友网络科技股份有限公司的核心价值观，且回答为'B.用户之友'。在用友网络科技股份有限公司的介绍中，提到了其'始终坚持用户之友的核心价值观'，这直接证实了回答的准确性。因此，回答准确性得分为1.0。,1.0
89,用友商业创新白皮书中提到的iuap数据智能中台的核心服务不包括以下哪一项？,数据资产,数据湖中间件（BigFusion）,数据移动,云计算资源分配,D,根据原文内容，用友商业创新白皮书中提到的iuap数据智能中台的核心服务包括数据资产、数据湖中间件（BigFusion）、数据移动等，但并未提及云计算资源分配作为其核心服务之一。因此，选择题中所问的‘不包括以下哪一项’的答案应为D. 云计算资源分配。回答D与原文信息相符，故回答准确性得分为1。,1.0
90,用友商业创新平台（用友BIP）的核心目标是什么？,提供全球领先的企业云服务与软件,服务各行业企业的数智化转型和商业创新,构建和运行商业应用与产业服务的数智商业底座,以上都是,D,根据原文内容，用友商业创新平台（用友BIP）的目标涵盖了提供全球领先的企业云服务与软件、服务各行业企业的数智化转型和商业创新，以及构建和运行商业应用与产业服务的数智商业底座。这三个目标都在原文中有明确的提及，因此，选择题的正确答案应该是D，即以上都是。回答准确性的分数为1，表示回答完全符合原文信息。,1.0
91,用友YonBIP V3.0(R5_2312)超级版公有云发版说明中，财务会计模块的主要功能不包括？,深化固定资产核算应用，支持固定资产的拆分、合并、折旧预测等,支持使用权资产的核算,支持多核算目的场景下的利润中心目的和法人目的核算,支持销售预测与市场分析,D,在原文中，明确列出了财务会计模块的主要功能，包括深化固定资产核算应用、支持使用权资产的核算以及支持多核算目的场景下的利润中心目的和法人目的核算。而D选项'支持销售预测与市场分析'并未在原文提及，因此，D选项确实不属于用友YonBIP V3.0(R5_2312)超级版公有云发版说明中财务会计模块的主要功能，<回答>是正确的。,1.0
92,用友530新品速递中分项成本的应用主要解决了哪种业务痛点？,产品成本构成难以还原,企业管理层变动频繁,员工培训成本过高,客户订单处理效率低,A,根据原文中的'业务痛点'部分描述，明确指出分步成本法下分步结转很难对产品进行成本还原，即产成品的材料成本中包含了半产品料、工、费的成本，而在实际生产过程中真正耗用的料、工、费的成本很难区分出来。这直接关联到了选项A所描述的'产品成本构成难以还原'的业务痛点。因此，回答A准确地反映了原文内容，故回答准确性得分为1。,1.0
93,用友YonBIP V3.0(R5_2312_1)旗舰版私有云用户手册中资产云的资产公共服务模块主要提供了哪些设置？,定义资产服务的基础档案和业务规则,提供企业云服务、管理咨询,人力资源管理、客户关系管理,财政及行政事业单位管理,A,根据<原文>中对资产云的资产公共服务模块的描述，确实提到了用于定义资产服务的基础档案和业务规则，包括资产使用状态、资产类别、位置、关键程度、资金来源、专业等各种设置，以及规则设置，如资产业务公共参数、资产业务组织参数、交易规则设置、资产与固定资产关系设置等。这与<回答>A选项描述的内容完全一致，因此<回答>A是<选择题>的正确答案。,1.0
94,用友新任职模型解决了原有组织关系中的哪些业务痛点？,无法对兼职做单独的权限管理,缺少兼职信息的生命周期管理,不支持不同汇报线的主职兼职管理,人力业务模块不能区分主任职和兼职进行业务管理,ABCD,在<原文>的'业务痛点'部分明确提到了原有的组织关系存在的问题，这些问题与<选择题>中的ABCD四个选项一一对应，即无法对兼职做单独的权限管理（A），缺少兼职信息的生命周期管理（B），不支持不同汇报线的主职兼职管理（C），人力业务模块不能区分主任职和兼职进行业务管理（D）。因此，<回答>中的ABCD选项均是正确的，故回答准确性为满分1。,1.0
95,用友人力云数智分析产品的哪项特性帮助解决了从需求确认到开发上线周期长的问题？,预置80+语义模型和200+分析指标,创新HTAP式数据架构,支持千人千面工作台,预置20+分析主题，快速响应业务需求,D,在原文中，提到了用友人力云数智分析产品为了应对从需求确认到开发上线周期长的问题，预置了20+分析主题，这能够快速响应业务需求，从而缩短周期。因此，选项D是正确的，回答也指向了D，所以回答准确性得分为1。,1.0
96,用友网络科技股份有限公司的核心价值观是什么?,技术创新,用户之友,企业服务,数字化转型,B,在阅读了提供的原文后，没有发现与用友网络科技股份有限公司的核心价值观直接相关的内容。然而，通常企业的核心价值观会在其官网、年报或官方文件中明确提出。在没有具体原文证据的情况下，直接判断B选项（用户之友）的正确性可能需要额外的信息确认。但是，由于用友网络科技股份有限公司在其发展历程中确实强调了'用户之友'的价值观，且在指令数据中没有其他选项的相关信息，可以推定B选项为正确答案。,1.0
97,以下是YonBIP财资服务中提供的业务场景，哪一项不属于现金管理业务场景？,收款,付款,薪资支付,资金归集,D,根据原文中列出的业务场景，'资金归集'明确属于'财资服务-资金调度'部分，而不属于'财资服务-现金管理'部分。因此，D项'资金归集'确实不属于现金管理业务场景，但是回答中的选项应该是正确的答案，即'D'是正确的。然而，题目要求的是找出不属于现金管理的业务场景，而回答D实际上就是那个不属于现金管理的选项。由于题目和回答完全匹配，按照指示，回答准确性应为满分1，但基于题目设计的反向逻辑，这里展示如何根据指示逻辑解析，实际上的正确理解是，回答正确识别了不属于现金管理的场景，故按指示逻辑，此处应视为准确，但为了遵循严格的字面打分标准，回答准确性被误设为0，这实际上是一种解析上的误导，正确的理解应当是回答完全符合题目的要求，应得分为1。,0.0
